termo,campanha,ad_group,impr,clicks,custo,ctr,conv,status,recomendacao,motivo
"álcool etílico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",350,6,16.32,1.71%,0,"ADDED","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"acido sulfúrico","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",295,3,8.97,1.02%,0,"ADDED","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"ácido clorídrico","[Busca] - Produtos Secundários","Ácido Clorídrico PA-ACS",288,4,11.87,1.39%,0,"ADDED","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"álcool isopropílico","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",216,7,19.63,3.24%,0,"5","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"xilol","[Busca] - Produtos Prioritários","Xileno e Xilol PA",216,4,14.16,1.85%,0,"ADDED","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"álcool absoluto","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",179,1,2.75,0.56%,0,"5","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"xileno","[Busca] - Produtos Prioritários","Xileno e Xilol PA",165,3,8.40,1.82%,0,"ADDED","JÁ ADICIONADO","Keyword adicionada em 22/04"
"alcool absoluto","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",151,2,6.89,1.32%,0,"5","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"alcool 99","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",127,0,0.00,0.00%,0,"ADDED","⚠️ MONITORAR","Sem cliques ainda — aguardar mais dados"
"ácido sulfúrico","[Busca] - Produtos Secundários","Ácido Sulfúrico PA-ACS",115,4,12.52,3.48%,0,"ADDED","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"formol 37","[Busca] - Produtos Prioritários","Formaldeído PA",98,1,3.48,1.02%,0,"ADDED","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
"álcool 99","[Busca] - Produtos Prioritários","Álcool Etílico PA-ACS",62,1,2.73,1.61%,0,"ADDED","⚠️ MONITORAR","Ambíguo — avaliar manualmente"
