"Código categoria";"Código categoria mãe";"Categoria";"Nivel categoria";"Status";"Características (todas agrupadas em uma única coluna separada por vírgula ou ponto e vírgula)";"SEO - Título";"SEO - Descrição";"SEO - URL";"SEO - Palavras chaves";"Termo de aceite (sim ou não)";"Termo de aceite (descrição)";"Impostos";"Impostos - grupo de regras"
"1";"0";"Sais Inorgânicos";"1";"Ativo";"";"";"";"sais-inorganicos";"";"Não";"";"Não";""
"23";"0";"Compostos Orgânicos";"1";"Ativo";"";"";"";"compostos-organicos";"";"Não";"";"Não";""
"39";"0";"Ácidos e Bases";"1";"Ativo";"";"";"";"acidos-e-bases";"";"Não";"";"Não";""
"45";"0";"Indicadores";"1";"Ativo";"";"";"";"indicadores";"";"Não";"";"Não";""
"49";"0";"Reagentes Especiais";"1";"Ativo";"";"";"";"reagentes-especiais";"";"Não";"";"Não";""
"57";"0";"Metais";"1";"Ativo";"";"";"";"metais";"";"Não";"";"Não";""
"63";"0";"Solventes e Água";"1";"Ativo";"";"";"";"solventes-e-agua";"";"Não";"";"Não";""
"69";"0";"Outros";"1";"Ativo";"";"";"";"outros";"";"Não";"";"Não";""
"3";"1";"Cloretos";"2";"Ativo";"";"";"";"sais-inorganicos/cloretos";"";"Não";"";"Não";""
"5";"1";"Sulfatos e Sulfitos";"2";"Ativo";"";"";"";"sais-inorganicos/sulfatos-e-sulfitos";"";"Não";"";"Não";""
"7";"1";"Brometos, Iodetos e Fluoretos";"2";"Ativo";"";"";"";"sais-inorganicos/brometos-iodetos-e-fluoretos";"";"Não";"";"Não";""
"9";"1";"Nitratos";"2";"Ativo";"";"";"";"sais-inorganicos/nitratos";"";"Não";"";"Não";""
"11";"1";"Fosfatos";"2";"Ativo";"";"";"";"sais-inorganicos/fosfatos";"";"Não";"";"Não";""
"13";"1";"Acetatos";"2";"Ativo";"";"";"";"sais-inorganicos/acetatos";"";"Não";"";"Não";""
"15";"1";"Carbonatos";"2";"Ativo";"";"";"";"sais-inorganicos/carbonatos";"";"Não";"";"Não";""
"17";"1";"Boratos e Silicatos";"2";"Ativo";"";"";"";"sais-inorganicos/boratos-e-silicatos";"";"Não";"";"Não";""
"19";"1";"Cromatos e Percloratos";"2";"Ativo";"";"";"";"sais-inorganicos/cromatos-e-percloratos";"";"Não";"";"Não";""
"21";"1";"Outros Sais";"2";"Ativo";"";"";"";"sais-inorganicos/outros-sais";"";"Não";"";"Não";""
"25";"23";"Cloridratos e Aminas";"2";"Ativo";"";"";"";"compostos-organicos/cloridratos-e-aminas";"";"Não";"";"Não";""
"27";"23";"Aminoácidos";"2";"Ativo";"";"";"";"compostos-organicos/aminoacidos";"";"Não";"";"Não";""
"29";"23";"Açúcares e Carboidratos";"2";"Ativo";"";"";"";"compostos-organicos/acucares-e-carboidratos";"";"Não";"";"Não";""
"31";"23";"Aldeídos e Cetonas";"2";"Ativo";"";"";"";"compostos-organicos/aldeidos-e-cetonas";"";"Não";"";"Não";""
"33";"23";"Ésteres e Amidas";"2";"Ativo";"";"";"";"compostos-organicos/esteres-e-amidas";"";"Não";"";"Não";""
"35";"23";"Vitaminas";"2";"Ativo";"";"";"";"compostos-organicos/vitaminas";"";"Não";"";"Não";""
"37";"23";"Diversos";"2";"Ativo";"";"";"";"compostos-organicos/diversos";"";"Não";"";"Não";""
"41";"39";"Ácidos";"2";"Ativo";"";"";"";"acidos-e-bases/acidos";"";"Não";"";"Não";""
"43";"39";"Bases";"2";"Ativo";"";"";"";"acidos-e-bases/bases";"";"Não";"";"Não";""
"47";"45";"Indicadores e Corantes";"2";"Ativo";"";"";"";"indicadores/indicadores-e-corantes";"";"Não";"";"Não";""
"51";"49";"Soluções e Tampões";"2";"Ativo";"";"";"";"reagentes-especiais/solucoes-e-tampoes";"";"Não";"";"Não";""
"53";"49";"EDTA e Complexantes";"2";"Ativo";"";"";"";"reagentes-especiais/edta-e-complexantes";"";"Não";"";"Não";""
"55";"49";"Óxidos e Peróxidos";"2";"Ativo";"";"";"";"reagentes-especiais/oxidos-e-peroxidos";"";"Não";"";"Não";""
"59";"57";"Metais Alcalinos e Alcalino-Terrosos";"2";"Ativo";"";"";"";"metais/metais-alcalinos-e-alcalino-terrosos";"";"Não";"";"Não";""
"61";"57";"Metais de Transição e Outros";"2";"Ativo";"";"";"";"metais/metais-de-transicao-e-outros";"";"Não";"";"Não";""
"65";"63";"Solventes";"2";"Ativo";"";"";"";"solventes-e-agua/solventes";"";"Não";"";"Não";""
"67";"63";"Água e Diluentes";"2";"Ativo";"";"";"";"solventes-e-agua/agua-e-diluentes";"";"Não";"";"Não";""
