CODIGO,PRODUTO, PREÇO,IPI,CAS,NCM,ST,EXERCITO,CIVIL,FEDERAL,IBAMA,ONU,CLASSE RISCO,VALIDADE,CONCENTRACAO,DENSIDADE,CATEGORIA,SUBCATEGORIA
C04542RA,"1-CLORONAFTALENO 84,5% (GC) 100ML"," R$  869,15 ","0,00%",90-13-1,2903.99.15,NAO,N,N,N,N,3082,9,6 - ANO,"84,5","1,18",Compostos Orgânicos,Diversos
D03204RA,1-DECANOL 98% PA 100ML," R$  46,20 ","0,00%",112-30-1,2905.19.11,NAO,N,N,N,N,-,-,6 - ANO,98,"0,86",Compostos Orgânicos,Diversos
D03203RA,1-DECANOL 98% PA 1L," R$  434,00 ","0,00%",112-30-1,2905.19.11,NAO,N,N,N,N,-,-,6 - ANO,98,"0,82",Compostos Orgânicos,Diversos
T04473RA,"1,1,3,3 TETRAMETILUREIA 99% PA 100ML"," R$  141,60 ","0,00%",632-22-4,2924.19.99,NAO,N,N,N,N,-,-,6 - ANO,99,"0,96",Compostos Orgânicos,Diversos
T04472RA,"1,1,3,3 TETRAMETILUREIA 99% PA 250ML"," R$  295,42 ","0,00%",632-22-4,2924.19.99,NAO,N,N,N,N,-,-,6 - ANO,99,"0,96",Compostos Orgânicos,Diversos
T04471RA,"1,1,3,3 TETRAMETILUREIA 99% PA 500ML"," R$  580,36 ","0,00%",632-22-4,2924.19.99,NAO,N,N,N,N,-,-,6 - ANO,99,"0,96",Compostos Orgânicos,Diversos
D04556RA,"1,2 DICLOROBENZENO 98,5% HPLC PLUS 1L"," R$  245,18 ","0,00%",95-50-1,2903.91.20,NAO,N,N,N,N,1591,6.1,6 - ANO,"98,5","1,31",Solventes e Água,Solventes
D04979RA,"2,3-DIAMONINAFTALENO PA 1G"," R$  849,96 ","0,00%",771-97-1,2921.59.90,NAO,N,N,N,N,-,-,6 - ANO,95,"1,1",Compostos Orgânicos,Diversos
A06105RA,4-AMINOANTIPIRINA 25G," R$  136,91 ","0,00%",83-07-8,2933.11.90,NAO,N,N,N,N,-,-,6 - ANO,98,"1,21",Compostos Orgânicos,Diversos
A04065RA,4-AMINOANTIPIRINA PA 100G," R$  495,58 ","0,00%",83-07-8,2933.11.90,NAO,N,N,N,N,-,-,6 - ANO,98,"1,21",Compostos Orgânicos,Diversos
M03909RA,"4,4'-METILENO-BIS(2-CLOROANILINA) 99%  1KG"," R$  1.710,23 ","0,00%",101-14-4,2921.59.90,NAO,N,N,N,N,3077,9,6 - ANO,99,"1,44",Compostos Orgânicos,Cloridratos e Aminas
M03910RA,"4,4'-METILENO-BIS(2-CLOROANILINA) 99% 250G"," R$  685,26 ","0,00%",101-14-4,2921.59.90,NAO,N,N,N,N,3077,9,6 - ANO,99,"1,44",Compostos Orgânicos,Cloridratos e Aminas
AD04605RA,ACETAL (DIETILACETAL) 98% PA 500ML," R$  485,46 ","0,00%",105-57-7,2912.12.00,NAO,N,N,N,N,1088,3,6 - ANO,98,"0,83",Compostos Orgânicos,Diversos
AP06404RA,ACETAMIDA PURISSIMO 100G," R$  43,08 ","0,00%",60-35-5,2924.29.19,NAO,N,N,N,N,-,-,6 - ANO,"98,5","1,16",Compostos Orgânicos,Ésteres e Amidas
A04721RA,ACETAMIDA PURISSIMO 500G," R$  196,71 ","0,00%",60-35-5,2924.29.19,NAO,N,N,N,N,-,-,6 - ANO,"98,5","1,16",Compostos Orgânicos,Ésteres e Amidas
A07239RA,ACETANILIDA PURISSIMO 500G," R$  113,40 ","0,00%",103-84-4,2915.39.39,NAO,N,N,N,N,-,-,6 - ANO,"98,5","1,22",Compostos Orgânicos,Ésteres e Amidas
AA03777RA,ACETATO DE ALUMINIO BASICO PA 1KG," R$  324,87 ","0,00%",142-03-0,2936.21.12,NAO,N,N,N,N,3077,9,6 - ANO,97,"1,04",Sais Inorgânicos,Acetatos
AA03778RA,ACETATO DE ALUMINIO BASICO PA 250G," R$  82,12 ","0,00%",142-03-0,2936.21.12,NAO,N,N,N,N,3077,9,6 - ANO,97,"1,04",Sais Inorgânicos,Acetatos
AA04017RA,ACETATO DE AMONIO PA 1KG," R$  44,15 ","0,00%",631-61-8,2915.29.90,NAO,N,N,N,N,,,6 - ANO,97,"1,17",Sais Inorgânicos,Acetatos
AA04018RA,ACETATO DE AMONIO PA 500G," R$  24,56 ","0,00%",631-61-8,2915.29.90,NAO,N,N,N,N,-,-,6 - ANO,97,"1,07",Sais Inorgânicos,Acetatos
AA09778RA,ACETATO DE AMONIO PA ACS 1KG," R$  48,83 ","0,00%",631-61-8,2915.29.90,NAO,N,N,N,N,-,-,6 - ANO,97,"1,17",Sais Inorgânicos,Acetatos
